Date,Real,Naive,SNaive7,"ARIMA(1, 1, 1)"
2024-05-05,64031.1328125,63891.47265625,63113.23046875,29177.787844599836
2024-05-06,63161.94921875,64031.1328125,63841.12109375,29177.787844599836
2024-05-07,62334.81640625,63161.94921875,60636.85546875,29177.787844599836
2024-05-08,61187.94140625,62334.81640625,58254.01171875,29177.787844599836
2024-05-09,63049.9609375,61187.94140625,59123.43359375,29177.787844599836
2024-05-10,60792.77734375,63049.9609375,62889.8359375,29177.787844599836
2024-05-11,60793.7109375,60792.77734375,63891.47265625,29177.787844599836
2024-05-12,61448.39453125,60793.7109375,64031.1328125,29177.787844599836
2024-05-13,62901.44921875,61448.39453125,63161.94921875,29177.787844599836
2024-05-14,61552.7890625,62901.44921875,62334.81640625,29177.787844599836
2024-05-15,66267.4921875,61552.7890625,61187.94140625,29177.787844599836
2024-05-16,65231.58203125,66267.4921875,63049.9609375,29177.787844599836
2024-05-17,67051.875,65231.58203125,60792.77734375,29177.787844599836
2024-05-18,66940.8046875,67051.875,60793.7109375,29177.787844599836
2024-05-19,66278.3671875,66940.8046875,61448.39453125,29177.787844599836
2024-05-20,71448.1953125,66278.3671875,62901.44921875,29177.787844599836
2024-05-21,70136.53125,71448.1953125,61552.7890625,29177.787844599836
2024-05-22,69122.3359375,70136.53125,66267.4921875,29177.787844599836
2024-05-23,67929.5625,69122.3359375,65231.58203125,29177.787844599836
2024-05-24,68526.1015625,67929.5625,67051.875,29177.787844599836
2024-05-25,69265.9453125,68526.1015625,66940.8046875,29177.787844599836
2024-05-26,68518.09375,69265.9453125,66278.3671875,29177.787844599836
2024-05-27,69394.5546875,68518.09375,71448.1953125,29177.787844599836
2024-05-28,68296.21875,69394.5546875,70136.53125,29177.787844599836
2024-05-29,67578.09375,68296.21875,69122.3359375,29177.787844599836
2024-05-30,68364.9921875,67578.09375,67929.5625,29177.787844599836
2024-05-31,67491.4140625,68364.9921875,68526.1015625,29177.787844599836
2024-06-01,67706.9375,67491.4140625,69265.9453125,29177.787844599836
2024-06-02,67751.6015625,67706.9375,68518.09375,29177.787844599836
2024-06-03,68804.78125,67751.6015625,69394.5546875,29177.787844599836
2024-06-04,70567.765625,68804.78125,68296.21875,29177.787844599836
2024-06-05,71082.8203125,70567.765625,67578.09375,29177.787844599836
2024-06-06,70757.1640625,71082.8203125,68364.9921875,29177.787844599836
2024-06-07,69342.5859375,70757.1640625,67491.4140625,29177.787844599836
2024-06-08,69305.7734375,69342.5859375,67706.9375,29177.787844599836
2024-06-09,69647.9921875,69305.7734375,67751.6015625,29177.787844599836
2024-06-10,69512.28125,69647.9921875,68804.78125,29177.787844599836
2024-06-11,67332.03125,69512.28125,70567.765625,29177.787844599836
2024-06-12,68241.1875,67332.03125,71082.8203125,29177.787844599836
2024-06-13,66756.3984375,68241.1875,70757.1640625,29177.787844599836
2024-06-14,66011.09375,66756.3984375,69342.5859375,29177.787844599836
2024-06-15,66191.0,66011.09375,69305.7734375,29177.787844599836
2024-06-16,66639.046875,66191.0,69647.9921875,29177.787844599836
2024-06-17,66490.296875,66639.046875,69512.28125,29177.787844599836
2024-06-18,65140.74609375,66490.296875,67332.03125,29177.787844599836
2024-06-19,64960.296875,65140.74609375,68241.1875,29177.787844599836
2024-06-20,64828.65625,64960.296875,66756.3984375,29177.787844599836
2024-06-21,64096.19921875,64828.65625,66011.09375,29177.787844599836
2024-06-22,64252.578125,64096.19921875,66191.0,29177.787844599836
2024-06-23,63180.796875,64252.578125,66639.046875,29177.787844599836
2024-06-24,60277.4140625,63180.796875,66490.296875,29177.787844599836
2024-06-25,61804.640625,60277.4140625,65140.74609375,29177.787844599836
2024-06-26,60811.27734375,61804.640625,64960.296875,29177.787844599836
2024-06-27,61604.80078125,60811.27734375,64828.65625,29177.787844599836
2024-06-28,60320.13671875,61604.80078125,64096.19921875,29177.787844599836
2024-06-29,60887.37890625,60320.13671875,64252.578125,29177.787844599836
2024-06-30,62678.29296875,60887.37890625,63180.796875,29177.787844599836
2024-07-01,62851.98046875,62678.29296875,60277.4140625,29177.787844599836
2024-07-02,62029.015625,62851.98046875,61804.640625,29177.787844599836
2024-07-03,60173.921875,62029.015625,60811.27734375,29177.787844599836
2024-07-04,56977.703125,60173.921875,61604.80078125,29177.787844599836
2024-07-05,56662.375,56977.703125,60320.13671875,29177.787844599836
2024-07-06,58303.5390625,56662.375,60887.37890625,29177.787844599836
2024-07-07,55849.109375,58303.5390625,62678.29296875,29177.787844599836
2024-07-08,56705.09765625,55849.109375,62851.98046875,29177.787844599836
2024-07-09,58009.2265625,56705.09765625,62029.015625,29177.787844599836
2024-07-10,57742.49609375,58009.2265625,60173.921875,29177.787844599836
2024-07-11,57344.9140625,57742.49609375,56977.703125,29177.787844599836
2024-07-12,57899.46484375,57344.9140625,56662.375,29177.787844599836
2024-07-13,59231.953125,57899.46484375,58303.5390625,29177.787844599836
2024-07-14,60787.79296875,59231.953125,55849.109375,29177.787844599836
2024-07-15,64870.15234375,60787.79296875,56705.09765625,29177.787844599836
2024-07-16,65097.1484375,64870.15234375,58009.2265625,29177.787844599836
2024-07-17,64118.79296875,65097.1484375,57742.49609375,29177.787844599836
2024-07-18,63974.06640625,64118.79296875,57344.9140625,29177.787844599836
2024-07-19,66710.15625,63974.06640625,57899.46484375,29177.787844599836
2024-07-20,67163.6484375,66710.15625,59231.953125,29177.787844599836
2024-07-21,68154.5234375,67163.6484375,60787.79296875,29177.787844599836
2024-07-22,67585.25,68154.5234375,64870.15234375,29177.787844599836
2024-07-23,65927.671875,67585.25,65097.1484375,29177.787844599836
2024-07-24,65372.1328125,65927.671875,64118.79296875,29177.787844599836
2024-07-25,65777.2265625,65372.1328125,63974.06640625,29177.787844599836
2024-07-26,67912.0625,65777.2265625,66710.15625,29177.787844599836
2024-07-27,67813.3359375,67912.0625,67163.6484375,29177.787844599836
2024-07-28,68255.8671875,67813.3359375,68154.5234375,29177.787844599836
2024-07-29,66819.9140625,68255.8671875,67585.25,29177.787844599836
2024-07-30,66201.015625,66819.9140625,65927.671875,29177.787844599836
2024-07-31,64619.25,66201.015625,65372.1328125,29177.787844599836
2024-08-01,65357.5,64619.25,65777.2265625,29177.787844599836
2024-08-02,61415.06640625,65357.5,67912.0625,29177.787844599836
2024-08-03,60680.09375,61415.06640625,67813.3359375,29177.787844599836
2024-08-04,58116.9765625,60680.09375,68255.8671875,29177.787844599836
2024-08-05,53991.45703125,58116.9765625,66819.9140625,29177.787844599836
2024-08-06,56034.31640625,53991.45703125,66201.015625,29177.787844599836
2024-08-07,55027.4609375,56034.31640625,64619.25,29177.787844599836
2024-08-08,61710.13671875,55027.4609375,65357.5,29177.787844599836
2024-08-09,60880.11328125,61710.13671875,61415.06640625,29177.787844599836
2024-08-10,60945.8125,60880.11328125,60680.09375,29177.787844599836
2024-08-11,58719.484375,60945.8125,58116.9765625,29177.787844599836
2024-08-12,59354.515625,58719.484375,53991.45703125,29177.787844599836
2024-08-13,60609.56640625,59354.515625,56034.31640625,29177.787844599836
2024-08-14,58737.26953125,60609.56640625,55027.4609375,29177.787844599836
2024-08-15,57560.09765625,58737.26953125,61710.13671875,29177.787844599836
2024-08-16,58894.10546875,57560.09765625,60880.11328125,29177.787844599836
2024-08-17,59478.97265625,58894.10546875,60945.8125,29177.787844599836
2024-08-18,58483.96484375,59478.97265625,58719.484375,29177.787844599836
2024-08-19,59493.453125,58483.96484375,59354.515625,29177.787844599836
2024-08-20,59012.79296875,59493.453125,60609.56640625,29177.787844599836
2024-08-21,61175.19140625,59012.79296875,58737.26953125,29177.787844599836
2024-08-22,60381.9140625,61175.19140625,57560.09765625,29177.787844599836
2024-08-23,64094.35546875,60381.9140625,58894.10546875,29177.787844599836
2024-08-24,64178.9921875,64094.35546875,59478.97265625,29177.787844599836
2024-08-25,64333.54296875,64178.9921875,58483.96484375,29177.787844599836
2024-08-26,62880.66015625,64333.54296875,59493.453125,29177.787844599836
2024-08-27,59504.1328125,62880.66015625,59012.79296875,29177.787844599836
2024-08-28,59027.625,59504.1328125,61175.19140625,29177.787844599836
2024-08-29,59388.1796875,59027.625,60381.9140625,29177.787844599836
2024-08-30,59119.4765625,59388.1796875,64094.35546875,29177.787844599836
2024-08-31,58969.8984375,59119.4765625,64178.9921875,29177.787844599836
2024-09-01,57325.48828125,58969.8984375,64333.54296875,29177.787844599836
2024-09-02,59112.48046875,57325.48828125,62880.66015625,29177.787844599836
2024-09-03,57431.0234375,59112.48046875,59504.1328125,29177.787844599836
2024-09-04,57971.5390625,57431.0234375,59027.625,29177.787844599836
2024-09-05,56160.48828125,57971.5390625,59388.1796875,29177.787844599836
